rootIP,srcIP,dstIP,count,dur,bytes,hops,tactic,nCount,nDur,nBytes,portCount,end
143.88.4.15,143.88.4.15,143.88.9.13,29,17931.578887701035,76041.0,1,Defense Evasion,4.164178074531649E-6,0.005172532382463147,2.8645184287097968E-8,7
143.88.5.17,143.88.5.17,143.88.10.11,17,7464.64330124855,200779.0,1,Exfiltration,2.3795303283037995E-6,0.00215324648437553,7.563487402821166E-8,4,N
143.88.5.17,143.88.10.11,143.88.10.14,2,571.4431531429291,18696.0,2,Lateral Movement,1.4872064551898747E-7,1.6483814575837414E-4,7.042915866855823E-9,1
143.88.7.10,143.88.7.10,143.88.2.12,2085,92.69276404380798,8.791520009E9,1,Discovery,3.099338252615699E-4,2.6738098560047233E-5,0.0033118279720350096,1003
143.88.7.10,143.88.7.10,143.88.2.10,521472,1216.9835205078125,24576.0,1,Reconnaissance,0.07755350373943191,3.5105032904092E-4,9.257953591348347E-9,1002,N
143.88.7.10,143.88.2.10,143.88.7.15,1661440,353248.51544189453,2.65458232832E12,2,Reconnaissance,0.247090280570421,0.10189785275592605,1.0,1011
143.88.7.10,143.88.2.10,143.88.7.11,3112192,972063.5371704102,5579520.0,2,Reconnaissance,0.4628470544983831,0.28040085902721346,2.1018447762858043E-6,1009
143.88.7.10,143.88.2.10,143.88.7.1,2093056,279987.98876953125,8567808.0,2,Reconnaissance,0.3112804907067443,0.08076516561541919,3.2275540707838175E-6,1005
143.88.7.10,143.88.2.10,143.88.7.12,1125888,778386.2987670898,9.257586368E11,2,Reconnaissance,0.16744264142143625,0.2245328401728153,0.34873984766781857,1004
143.88.7.10,143.88.2.10,143.88.7.6,1024,0.41058349609375,0.0,2,Reconnaissance,1.5214122036592416E-4,1.1843666653952604E-7,0.0,2
143.88.7.10,143.88.2.10,143.88.7.4,1024,0.37274169921875,0.0,2,Reconnaissance,1.5214122036592416E-4,1.0752084473864806E-7,0.0,2
143.88.7.10,143.88.2.10,143.88.7.9,1024,0.19659423828125,0.0,2,Reconnaissance,1.5214122036592416E-4,5.670945487198058E-8,0.0,2
143.88.7.10,143.88.2.10,143.88.7.3,1024,0.3656005859375,0.0,2,Reconnaissance,1.5214122036592416E-4,1.0546092352783722E-7,0.0,2
143.88.7.10,143.88.2.10,143.88.7.7,1024,0.25115966796875,0.0,2,Reconnaissance,1.5214122036592416E-4,7.244936566227883E-8,0.0,2
